,bathrooms,bedrooms,interest_level,num_photos,num_features,num_description_words,created_month,created_day,neighbourhood,price
54630,1.0,1,low,3,1,46,5,11,Dyker Heights,1875
54635,1.0,1,medium,5,1,80,5,24,Brooklyn Heights,2400
54741,1.0,1,low,3,0,9,5,26,Downtown,2950
54793,2.0,3,medium,6,8,183,5,10,Wingate,2500
54826,1.0,1,medium,6,6,96,5,22,Brooklyn Heights,2600
54883,1.0,3,high,9,3,109,5,5,Dyker Heights,2350
54908,1.0,2,low,6,7,107,5,8,Kensington,3668
54933,1.0,1,medium,5,9,173,5,13,Clinton Hill,3000
54935,1.0,0,low,7,4,71,5,12,Downtown,2625
54968,1.0,3,medium,6,1,71,5,20,Bushwick,2400
55026,1.0,1,medium,6,1,84,5,14,Dyker Heights,1550
55046,1.0,1,low,8,8,96,5,28,Flatbush,2050
55121,1.0,1,low,5,5,154,5,12,Bushwick,2580
55189,1.0,2,medium,7,2,49,5,9,North Side,2750
55257,1.0,2,low,18,0,9,5,6,East Williamsburg,2700
55315,2.0,2,medium,12,5,129,5,17,Bushwick,2975
55338,1.0,1,medium,5,3,102,5,11,Carroll Gardens,2500
55372,1.0,1,low,6,13,103,5,25,Boerum Hill,2915
55407,1.5,2,low,4,1,74,5,19,Bushwick,3120
55417,1.0,2,low,8,7,47,5,21,South Side,2750
55450,1.0,1,low,3,8,111,5,20,Brighton Beach,1850
55490,1.0,1,medium,8,5,134,5,12,Bensonhurst,1550
55500,1.0,3,low,8,0,9,5,6,Borough Park,2550
55546,2.0,3,medium,11,7,99,5,12,Ocean Hill,2600
55554,1.0,0,low,1,4,60,5,9,Downtown,2625
55592,2.0,1,low,5,0,173,5,16,Bushwick,2500
55610,2.0,3,low,8,9,184,5,16,Bedford Stuyvesant,3700
55621,1.0,2,medium,5,3,48,5,21,North Side,3399
55655,1.0,1,high,6,1,87,5,14,Dyker Heights,1375
55657,1.0,2,low,6,6,29,5,19,Prospect Lefferts Gardens,2595
55739,1.0,3,low,11,2,49,5,12,Bushwick,3400
55749,1.0,1,medium,8,2,36,5,13,Broadway Junction,1450
55784,1.0,2,medium,11,0,40,5,17,Ocean Hill,2000
55943,1.0,1,low,0,4,1,5,28,Clinton Hill,2715
55965,1.0,1,low,4,7,21,5,12,Downtown,3195
56015,1.0,0,low,1,4,101,5,3,Brooklyn Heights,2890
56026,1.0,1,high,5,3,9,5,14,Brighton Beach,1550
56056,1.0,1,low,12,7,77,5,25,South Side,2400
56063,1.0,0,low,0,0,19,5,19,East Williamsburg,1950
56089,2.5,3,low,11,1,312,5,10,Bay Ridge,4500
56104,1.0,2,medium,6,4,154,5,12,Fort Greene,3300
56218,1.5,1,low,9,6,150,5,8,Bushwick,2495
56251,1.0,1,low,5,1,87,5,23,Prospect Heights,2650
56271,1.0,2,medium,7,3,29,5,29,Weeksville,1900
56275,1.0,1,medium,5,6,248,5,10,East Williamsburg,2100
56277,1.0,2,high,6,6,130,5,10,Greenpoint,2200
56293,1.0,1,medium,6,9,94,5,9,Brighton Beach,1700
56300,1.0,2,low,2,5,91,5,5,Prospect Lefferts Gardens,2595
56308,1.0,1,low,9,1,101,5,4,Prospect Heights,2595
56309,1.0,2,low,6,1,104,5,30,Bushwick,2500
56326,2.0,2,low,9,4,66,5,24,Hunters Point,4500
56329,1.0,1,low,10,0,70,5,14,Bensonhurst,1750
56342,1.0,1,low,12,4,60,5,26,Dumbo,3846
56391,1.0,1,medium,3,4,67,5,3,Brighton Beach,1550
56408,1.0,2,low,8,4,33,5,26,Ocean Hill,3400
56429,2.0,5,low,12,5,58,5,14,Bushwick,4800
56430,1.0,1,low,5,6,38,5,19,Brooklyn Heights,2650
56468,1.0,0,medium,4,7,98,5,18,Brooklyn Heights,2600
56486,1.0,1,low,3,1,47,5,20,Weeksville,1400
56494,1.0,1,low,5,12,120,5,11,Brooklyn Heights,3345
56519,1.0,2,high,7,2,129,5,27,Gowanus,1800
56550,1.0,2,low,8,3,99,5,14,Prospect Lefferts Gardens,2400
56601,1.0,2,low,0,4,1,5,4,Gravesend,2030
56635,1.0,1,medium,9,3,38,5,10,Bushwick,1800
56702,2.0,2,high,6,5,182,5,7,Weeksville,1950
56714,1.0,1,low,5,9,44,5,20,Prospect Heights,2450
56730,1.0,1,low,7,5,42,5,20,Dumbo,3610
56757,2.0,3,low,6,12,102,5,12,Kensington,4531
56838,1.0,2,low,14,1,9,5,18,Sunset Park,2400
56839,1.0,1,low,12,10,162,5,24,North Side,3400
56853,2.0,2,low,4,7,12,5,12,North Side,5630
56858,1.0,2,high,9,0,196,5,21,Flatlands,1850
56885,1.0,1,medium,12,7,80,5,27,South Side,2400
56890,1.0,1,high,4,3,103,5,4,Weeksville,1550
56927,1.0,1,medium,10,1,33,5,7,Prospect Heights,2300
57074,1.0,2,low,7,3,79,5,19,Greenpoint,2700
57076,1.0,3,medium,8,4,112,5,18,Ocean Hill,2200
57126,1.0,0,low,0,0,8,5,4,North Side,2200
57201,2.0,4,high,8,0,9,5,26,Dyker Heights,2200
57204,1.0,3,medium,11,14,205,5,11,North Side,5700
57212,1.0,4,medium,5,2,95,5,14,Dyker Heights,2300
57249,1.0,0,medium,7,4,166,5,6,Brooklyn Heights,2125
57385,1.0,1,low,7,8,63,5,3,Clinton Hill,2600
57395,1.0,3,low,0,3,9,5,6,Ditmas Park,2800
57419,1.0,3,medium,7,4,24,5,8,Bushwick,2300
57440,1.0,2,low,5,4,96,5,7,East Williamsburg,2300
57462,2.0,2,low,7,5,54,5,14,Dumbo,4130
57472,1.0,1,high,3,0,76,5,3,Sunset Park,1400
57474,1.0,0,low,5,3,100,5,15,Park Slope,2900
57545,1.0,1,low,5,3,101,5,21,Greenpoint,2950
57565,1.0,1,low,3,5,22,5,19,Boerum Hill,3461
57593,2.0,2,low,6,6,60,5,19,Weeksville,2750
57626,1.5,4,low,13,6,62,5,28,Prospect Lefferts Gardens,3000
57665,1.0,1,low,7,10,193,5,26,Prospect Lefferts Gardens,2975
57675,1.0,2,low,10,3,64,5,11,Fort Greene,3000
57712,1.0,0,low,4,1,9,5,14,Park Slope,1900
57745,2.0,3,low,8,9,164,5,16,Crown Heights,4750
57780,1.0,1,low,4,2,169,5,10,Prospect Heights,2600
57787,1.0,3,low,12,4,53,5,5,Bedford Stuyvesant,2900
57795,1.0,0,low,4,4,84,5,29,Dumbo,2720
57810,1.0,3,medium,12,1,53,5,10,Bay Ridge,2499
57846,1.0,1,low,37,3,9,5,11,Downtown,3195
57884,1.0,1,low,7,0,33,5,27,Brighton Beach,1850
57910,1.0,3,medium,6,1,51,5,24,Ditmas Park,2200
57982,1.0,2,high,5,1,93,5,28,Flatbush,1950
58007,2.0,2,low,7,4,15,5,27,Bay Ridge,2000
58060,1.0,2,high,4,3,97,5,19,Prospect Heights,2300
58066,1.0,1,low,4,7,114,5,13,Boerum Hill,4000
58082,1.0,2,low,4,3,174,5,14,Prospect Lefferts Gardens,2595
58100,2.0,2,low,1,4,4,5,22,Boerum Hill,5000
58269,1.0,3,low,18,2,94,5,2,Park Slope,3650
58327,1.0,1,low,6,1,23,5,13,Brooklyn Heights,2600
58340,2.0,3,medium,12,9,80,5,11,Boerum Hill,4395
58373,1.0,2,low,5,3,9,5,14,Dumbo,5055
58402,1.0,0,medium,4,3,80,5,17,Clinton Hill,1850
58411,1.0,2,low,8,5,47,5,24,Bushwick,2450
58415,1.0,3,high,3,2,34,5,12,Ocean Hill,1975
58425,1.0,1,medium,0,5,35,5,5,Weeksville,1550
58435,1.0,3,low,11,6,161,5,10,North Side,4070
58508,1.0,1,low,0,3,53,5,5,Crown Heights,2500
58519,1.0,1,medium,5,0,149,5,20,Bushwick,2000
58526,1.0,1,low,0,3,1,5,13,Bedford Stuyvesant,2195
58534,1.0,3,medium,8,6,69,5,13,Bushwick,2999
58553,1.0,2,low,4,0,9,5,23,Kensington,1900
58560,1.0,3,low,0,1,48,5,20,Carroll Gardens,4125
58565,1.0,1,medium,3,3,145,5,13,Brooklyn Heights,2250
58586,1.0,2,low,7,0,29,5,3,Wingate,2300
58595,1.0,2,low,6,5,86,5,19,Bushwick,2600
58664,1.0,1,low,7,5,253,5,6,North Side,3346
58711,1.0,2,low,8,2,61,5,12,Ocean Hill,2100
58722,1.0,0,medium,5,1,84,5,14,Remsen Village,2000
58726,1.0,3,low,12,4,55,5,18,Bushwick,2700
58751,1.0,3,low,8,6,96,5,17,Bushwick,3700
58755,2.0,2,low,10,6,370,5,14,East Williamsburg,3800
58765,1.0,4,medium,5,6,67,5,12,Prospect Heights,3249
58778,1.0,1,medium,6,2,99,5,24,East Williamsburg,2500
58782,1.0,3,low,5,4,228,5,2,Blissville,3300
58820,2.0,4,low,1,2,85,5,27,Bath Beach,2600
58824,1.0,2,low,6,3,81,5,20,Prospect Lefferts Gardens,2250
58850,1.0,0,low,3,0,91,5,24,Prospect Heights,2000
58949,1.0,2,low,3,1,174,5,10,Clinton Hill,2299
58988,1.0,2,low,8,2,242,5,15,Williamsburg,3499
58997,1.0,1,low,8,2,46,5,10,Gowanus,3200
59021,1.0,3,low,7,8,82,5,7,Bushwick,3200
59025,1.0,0,low,8,10,84,5,10,Dumbo,3078
59042,1.0,1,low,9,3,70,5,6,Clinton Hill,2445
59101,1.0,2,medium,8,3,260,5,19,Prospect Heights,3391
59103,2.0,2,low,7,5,189,5,6,East Williamsburg,3995
59104,1.0,2,medium,5,7,107,5,12,Prospect Heights,3000
59121,2.0,3,medium,10,9,113,5,5,Clinton Hill,4495
59151,1.0,3,low,11,3,31,5,27,Weeksville,2750
59157,1.0,1,low,7,5,103,5,11,Dumbo,3515
59189,1.0,0,low,6,7,82,5,18,Brooklyn Heights,2350
59219,2.0,2,high,8,2,50,5,13,Bushwick,1850
59237,1.0,1,low,0,1,45,5,4,East Williamsburg,2300
59276,1.0,3,low,9,1,19,5,22,Bensonhurst,2100
59301,1.0,1,low,4,9,104,5,27,Downtown,2825
59320,1.0,1,low,4,4,110,5,13,Downtown,3500
59393,1.0,0,low,5,14,172,5,19,Downtown,2875
59404,1.0,3,low,7,0,78,5,18,South Side,3600
59406,1.0,0,low,3,2,72,5,15,Prospect Heights,2075
59415,1.0,3,low,15,3,149,5,10,Fort Greene,6000
59416,1.0,1,low,7,6,233,5,20,Downtown,2795
59444,1.0,1,high,7,0,78,5,16,Gravesend,1550
59450,1.0,2,medium,3,3,45,5,5,Bushwick,2500
59481,1.0,2,high,5,1,39,5,5,Ocean Hill,1950
59497,1.0,3,medium,6,3,93,5,10,Ocean Hill,2200
59507,1.0,1,low,0,8,1,5,3,North Side,3625
59533,2.0,2,low,7,2,69,5,30,Bedford Stuyvesant,2600
59542,1.0,2,medium,11,4,57,5,17,Ocean Hill,2000
59641,1.0,2,medium,4,4,303,5,12,Bedford Stuyvesant,2750
59653,1.0,2,high,6,2,92,5,22,Prospect Heights,1990
59694,1.0,1,low,1,1,4,5,20,Crown Heights,1750
59722,1.5,1,low,6,4,49,5,7,North Side,3595
59743,1.0,1,medium,7,8,63,5,19,Clinton Hill,2200
59755,1.0,0,low,0,3,9,5,14,Brighton Beach,1550
59769,1.0,2,high,12,3,47,5,19,Prospect Heights,2800
59786,1.0,2,low,0,4,1,5,3,Brighton Beach,2100
59790,2.0,3,low,7,15,58,5,26,Downtown,3625
59821,1.0,3,low,15,1,104,5,20,Ridgewood,2500
59842,1.0,2,medium,10,1,18,5,10,Bay Ridge,2199
59880,2.0,2,high,4,4,84,5,23,Brownsville,1165
59882,2.0,2,low,3,2,141,5,10,Downtown,3850
59886,1.0,0,low,0,2,1,5,4,Ditmas Park,1800
59896,1.0,0,low,4,4,77,5,13,Park Slope,2400
59986,1.0,1,low,5,4,120,5,13,Boerum Hill,2550
59989,1.0,3,medium,4,0,241,5,2,Carroll Gardens,3804
60000,2.0,3,low,6,3,219,5,29,Brighton Beach,3650
60045,2.0,3,medium,9,0,108,5,23,Fort Hamilton,2400
60070,1.0,2,low,0,3,2,5,18,East Williamsburg,3200
60127,1.0,2,medium,2,4,84,5,12,Crown Heights,2350
60200,2.0,3,low,5,3,51,5,24,Boerum Hill,3900
60215,1.0,2,medium,9,0,54,5,12,Dyker Heights,1750
60234,1.0,1,low,10,10,182,5,6,Boerum Hill,3000
60282,2.0,2,medium,9,13,112,5,19,Weeksville,2700
60318,1.0,1,medium,7,3,9,5,14,Prospect Park South,2075
60327,1.0,3,low,10,5,26,5,16,Ridgewood,2500
60366,1.0,3,low,9,4,70,5,10,Bushwick,2995
60553,1.0,1,high,7,3,143,5,7,Williamsburg,2200
60557,1.0,1,high,11,3,117,5,18,Prospect Park South,1700
60628,2.0,4,low,10,9,113,5,14,Clinton Hill,4695
60725,2.0,2,medium,5,3,248,5,5,Clinton Hill,3700
60739,1.0,1,low,4,4,169,5,12,Bushwick,2395
60755,1.0,0,low,4,2,86,5,8,Clinton Hill,2000
60789,1.0,2,low,5,3,137,5,12,Park Slope,2950
60808,1.0,1,low,8,0,129,5,11,Downtown,2950
60843,1.0,2,low,6,4,68,5,15,Dumbo,5850
60868,1.0,2,medium,11,3,146,5,27,Carroll Gardens,2900
60885,1.0,3,medium,11,2,99,5,19,Bay Ridge,2400
60909,3.0,2,low,10,5,294,5,23,North Side,9100
60914,2.0,2,low,8,3,127,5,5,North Side,3995
60953,1.0,2,low,6,8,159,5,8,Prospect Heights,3450
60970,1.0,3,high,6,0,31,5,20,Ocean Hill,1750
60988,1.0,0,medium,5,5,70,5,13,Boerum Hill,2495
60998,1.0,2,high,7,0,9,5,25,Sunset Park,1800
61057,1.0,0,low,7,4,45,5,24,Downtown,3440
61093,1.0,2,low,4,4,79,5,13,Fulton Ferry,3050
61146,2.0,3,low,5,3,24,5,10,Bedford Stuyvesant,3000
61207,2.0,2,medium,8,9,98,5,21,Bushwick,2348
61227,1.0,0,medium,14,11,226,5,15,North Side,2700
61238,1.0,1,low,13,2,277,5,18,Bedford Stuyvesant,2378
61272,2.0,2,low,6,9,56,5,12,Boerum Hill,4350
61298,1.0,1,high,6,5,44,5,14,Prospect Lefferts Gardens,1600
61304,1.0,0,low,8,14,262,5,11,Boerum Hill,2421
61314,1.0,1,low,4,4,75,5,26,Fort Greene,2750
61345,1.0,2,medium,11,5,100,5,3,Ocean Hill,2100
61366,2.0,3,medium,6,1,54,5,23,Windsor Terrace,3000
61370,1.0,2,low,8,4,204,5,17,North Side,4400
61405,1.0,1,low,37,4,9,5,17,Downtown,3435
61410,1.0,2,low,6,3,49,5,26,Brooklyn Heights,3500
61411,1.0,0,low,0,0,9,5,25,Brooklyn Heights,2150
61430,1.0,1,low,6,2,90,5,16,Bedford Stuyvesant,1800
61455,1.0,1,medium,3,10,157,5,8,Boerum Hill,2890
61468,1.0,1,high,8,7,102,5,18,Weeksville,1900
61550,1.0,0,low,2,4,32,5,17,Dyker Heights,1350
61568,1.0,1,low,9,8,254,5,26,Gowanus,3314
61580,1.0,2,low,8,4,342,5,28,Bedford Stuyvesant,2815
61602,2.0,3,low,7,7,186,5,10,Prospect Lefferts Gardens,3000
61616,1.0,0,medium,4,2,67,5,4,Park Slope,1800
61627,1.0,0,medium,5,3,187,5,12,Park Slope,1895
61686,1.0,0,low,2,2,185,5,27,North Side,2856
61697,1.0,2,low,7,3,62,5,5,Prospect Park South,2100
61736,1.0,1,low,0,5,1,5,25,Gerritsen Beach,1695
61743,0.0,2,low,0,0,9,5,3,Gowanus,2475
61802,1.5,4,low,12,3,107,5,5,Crown Heights,3000
61815,1.0,0,low,9,4,108,5,21,Dumbo,3000
61819,1.0,1,medium,6,5,33,5,19,South Side,2400
61902,1.0,1,medium,5,7,29,5,12,Downtown,2995
61904,1.0,0,low,0,2,87,5,6,Brooklyn Heights,2600
61906,1.0,3,medium,8,6,67,5,23,Bushwick,2933
61917,1.0,2,medium,5,11,114,5,6,Downtown,2700
61925,1.0,2,medium,7,3,50,5,20,Bedford Stuyvesant,1899
61952,1.0,0,medium,4,2,134,5,29,Weeksville,1575
62014,1.0,2,high,4,0,188,5,5,Prospect Lefferts Gardens,1900
62039,1.0,0,high,12,10,146,5,9,Gowanus,2450
62075,1.0,1,high,2,3,133,5,1,Ocean Parkway,1600
62082,1.0,3,low,6,4,85,5,27,Bushwick,3100
62108,2.0,1,low,0,4,59,5,12,East Williamsburg,3500
62179,1.0,2,low,12,14,101,5,12,Dumbo,5542
62187,1.0,2,low,5,1,66,5,20,Clinton Hill,3000
62195,1.0,2,medium,8,4,60,5,18,Park Slope,2950
62217,1.0,1,medium,6,1,57,5,19,Prospect Lefferts Gardens,1950
62222,1.0,1,low,4,2,48,5,6,North Side,4850
62249,1.0,1,low,1,4,106,5,30,Williamsburg,2450
62283,1.0,1,low,6,2,183,5,18,North Side,4400
62313,1.0,2,medium,11,1,38,5,10,Bay Ridge,1800
62339,1.0,1,low,4,4,9,5,3,Brooklyn Heights,3800
62453,1.0,2,high,7,2,121,5,30,Windsor Terrace,2500
62490,1.5,5,low,0,2,9,5,25,Prospect Heights,5000
62495,1.0,2,low,3,2,22,5,19,Fulton Ferry,3100
62510,1.0,1,low,6,6,96,5,22,Brooklyn Heights,2650
62587,1.0,0,low,8,10,87,5,2,Downtown,2550
62625,1.0,0,low,6,3,65,5,17,North Side,3545
62664,1.0,1,low,2,1,19,5,7,Brooklyn Heights,2100
62761,1.0,0,low,0,4,1,5,15,Brooklyn Heights,2200
62853,1.0,1,high,5,2,44,5,15,Ocean Hill,1375
62888,1.0,2,high,4,3,103,5,3,Park Slope,2300
62889,1.0,1,low,9,10,133,5,25,Dumbo,4070
62920,1.0,1,low,6,4,75,5,5,Boerum Hill,2795
62922,1.0,2,low,4,3,54,5,17,Bedford Stuyvesant,2475
62933,1.0,2,high,15,3,28,5,25,Crown Heights,1800
62966,1.0,3,low,4,5,144,5,8,Bedford Stuyvesant,2875
63003,1.0,3,medium,6,1,187,5,4,Greenpoint,2750
63008,1.0,2,high,6,1,57,5,25,Sunset Park,1700
63075,1.0,2,medium,5,4,40,5,24,Bay Ridge,2000
63126,1.0,2,low,4,2,141,5,9,Navy Yard,2800
63181,2.0,4,medium,10,7,56,5,18,Bedford Stuyvesant,3700
63188,2.0,2,low,7,3,59,5,6,Bedford Stuyvesant,2800
63197,1.0,2,low,0,1,1,5,25,East Williamsburg,1950
63204,1.0,0,high,5,16,55,5,11,Downtown,2495
63235,1.0,1,low,2,5,81,5,13,Park Slope,3000
63239,1.0,1,high,12,9,115,5,20,Prospect Park South,2625
63275,1.0,1,low,9,14,263,5,7,North Side,3356
63283,1.5,2,low,8,3,124,5,3,Carroll Gardens,2291
63348,1.0,0,high,7,3,60,5,24,Sunset Park,1500
63426,1.0,1,medium,6,2,94,5,11,Windsor Terrace,2200
63443,2.0,3,medium,9,8,93,5,29,Downtown,4900
63487,1.0,2,medium,11,5,100,5,3,Ocean Hill,2100
63520,1.0,3,low,9,3,111,5,19,Ocean Hill,2500
63550,1.5,1,low,9,4,118,5,17,Bedford Stuyvesant,2795
63558,1.0,3,low,0,1,209,5,26,Park Slope,3650
63775,2.0,4,low,8,2,39,5,30,Bedford Stuyvesant,3700
63834,1.5,4,low,0,2,68,5,20,Bushwick,3150
63837,1.0,2,medium,3,1,97,5,24,Prospect Heights,3100
63858,2.0,3,low,13,1,9,5,17,Park Slope,3900
63891,1.0,1,low,1,7,4,5,20,Dumbo,3630
63930,1.0,2,medium,6,11,43,5,21,Prospect Heights,2500
64053,2.0,2,low,10,5,76,5,12,Bushwick,2300
64070,2.0,3,medium,12,13,118,5,22,Crown Heights,2850
64080,1.0,3,low,11,5,47,5,10,Weeksville,2300
64090,1.0,0,low,4,4,222,5,18,Downtown,2625
64113,2.0,3,low,7,6,112,5,13,Prospect Heights,4500
64114,1.0,3,low,11,0,178,5,5,Flatbush,2500
64177,1.0,1,medium,5,6,139,5,17,Williamsburg,2000
64209,3.0,4,medium,19,0,359,5,2,Carroll Gardens,8000
64211,1.0,1,low,5,1,189,5,13,Brooklyn Heights,2400
64224,1.0,3,medium,2,1,41,5,5,Ridgewood,2400
64237,1.0,1,low,5,12,67,5,11,Dumbo,3450
64239,1.0,2,medium,6,1,245,5,5,Bedford Stuyvesant,2200
64250,2.0,1,low,4,4,9,5,20,Dumbo,4130
64253,1.0,3,high,11,2,15,5,5,Manhattan Terrace,2100
64272,1.0,2,medium,10,4,188,5,24,North Side,3760
64274,2.0,2,low,5,7,30,5,19,Downtown,3775
64298,1.0,1,low,8,9,177,5,20,Williamsburg,2595
64315,1.0,0,low,1,2,82,5,23,Prospect Heights,2100
64339,0.0,0,low,22,7,335,5,18,Downtown,2598
64352,2.0,2,low,4,7,20,5,12,Downtown,5700
64371,1.0,2,low,8,6,107,5,26,Williamsburg,3254
64410,2.0,2,low,2,2,106,5,30,Downtown,3695
64466,1.0,0,high,5,3,76,5,13,Prospect Lefferts Gardens,1375
64468,1.0,1,low,11,13,271,5,20,Boerum Hill,3461
64472,3.0,3,low,11,2,205,5,13,Gowanus,8000
64484,1.0,0,medium,3,3,38,5,11,Gravesend,1500
64549,1.0,1,low,1,3,165,5,27,Carroll Gardens,2250
64561,1.0,1,low,0,0,9,5,7,Bath Beach,1695
64698,1.0,1,medium,5,3,64,5,20,Bushwick,1900
64707,1.0,2,high,11,2,129,5,19,Gowanus,1850
64708,1.0,1,medium,5,3,43,5,11,Clinton Hill,2950
64774,1.0,1,medium,7,7,110,5,19,Boerum Hill,3000
64785,1.0,1,medium,4,2,58,5,18,Clinton Hill,1595
64795,1.0,1,low,0,4,76,5,26,South Side,2700
64799,1.0,0,medium,8,2,134,5,12,Williamsburg,2200
64826,1.0,1,high,5,5,64,5,21,Brooklyn Heights,3500
64845,1.0,1,low,37,3,9,5,17,Downtown,3050
64866,1.0,1,low,5,3,50,5,29,Prospect Park South,1475
64869,1.0,3,low,8,4,60,5,3,Red Hook,3300
64883,1.0,2,high,7,1,146,5,3,Prospect Heights,2000
64900,1.0,1,high,7,4,74,5,21,Crown Heights,2030
64918,1.0,1,low,2,2,106,5,30,Downtown,2950
64984,1.0,1,low,1,0,45,5,22,Clinton Hill,2500
64994,2.0,3,low,13,1,9,5,25,Park Slope,3900
65002,1.0,1,medium,12,0,188,5,27,Boerum Hill,2500
65022,1.0,0,high,2,2,38,5,26,East Williamsburg,1590
65027,1.0,0,low,3,8,83,5,30,Boerum Hill,2550
65030,1.0,1,high,3,6,106,5,19,Park Slope,2400
65040,1.0,2,medium,8,3,24,5,30,East Williamsburg,2550
65044,1.0,2,low,2,0,26,5,13,Bushwick,2800
65078,1.0,4,low,0,0,35,5,17,Bedford Stuyvesant,4300
65267,1.0,1,low,7,13,125,5,24,Downtown,3000
65268,1.0,1,low,14,0,213,5,20,Cobble Hill,3150
65274,2.0,3,high,8,3,62,5,24,Sunset Park,2400
65310,1.0,1,low,15,8,268,5,10,Cobble Hill,3150
65333,1.0,2,low,6,5,174,5,14,Williamsburg,3554
65384,1.0,1,low,8,13,165,5,18,Downtown,3000
65421,1.0,2,high,4,0,118,5,14,East Williamsburg,2400
65514,1.0,2,high,3,1,136,5,13,East Williamsburg,2800
65515,2.0,2,low,1,1,4,5,20,Prospect Heights,2460
65542,1.0,1,low,4,7,130,5,12,South Side,2899
65558,1.0,2,low,5,5,41,5,25,Georgetown,4200
65574,1.0,1,low,6,10,73,5,21,Dumbo,3834
65600,1.0,0,low,2,3,182,5,19,North Side,5250
65604,1.0,2,low,1,1,61,5,10,Sunset Park,2000
65619,1.0,2,low,7,1,182,5,11,North Side,2695
65629,1.0,4,medium,11,4,133,5,11,Weeksville,2507
65713,2.0,3,medium,7,3,73,5,9,Bushwick,2775
65736,1.0,1,medium,11,12,136,5,14,Bedford Stuyvesant,2500
65757,1.0,3,high,12,8,109,5,17,Ocean Hill,2500
65785,1.0,4,low,5,2,140,5,22,Prospect Heights,5010
65822,1.0,2,low,0,2,66,5,29,Fulton Ferry,3050
65864,1.0,0,low,7,12,109,5,9,Downtown,2400
65871,2.0,2,low,9,2,117,5,15,North Side,5800
65910,1.0,1,low,7,5,64,5,11,Clinton Hill,2400
65947,1.0,3,low,11,3,121,5,26,Prospect Lefferts Gardens,2900
65961,1.0,3,low,8,6,142,5,26,Bedford Stuyvesant,3200
65999,1.0,3,medium,10,4,66,5,3,Kensington,2295
66053,1.0,1,high,4,3,57,5,5,Cobble Hill,2100
66059,2.0,2,high,8,2,50,5,16,Bushwick,1850
66062,1.0,0,low,5,2,83,5,13,Bushwick,2450
66103,2.0,4,low,8,3,54,5,15,Bedford Stuyvesant,3700
66104,1.0,3,low,3,4,116,5,19,Gowanus,3435
66150,1.0,3,low,5,5,162,5,9,Boerum Hill,3450
66154,1.0,2,high,9,4,152,5,3,East Williamsburg,1800
66222,1.0,1,low,4,4,116,5,8,Brooklyn Heights,2900
66317,1.0,1,medium,4,2,139,5,16,North Side,2300
66331,2.0,3,low,9,4,56,5,4,Clinton Hill,3700
66374,1.0,1,low,6,1,4,5,24,Windsor Terrace,2195
66391,1.0,1,medium,8,0,61,5,4,Park Slope,2300
66396,1.0,2,low,0,3,7,5,26,Prospect Lefferts Gardens,1950
66431,2.0,3,medium,11,4,74,5,24,Park Slope,4500
66449,1.0,2,medium,3,1,27,5,11,Flatbush,1850
66542,1.0,2,low,0,3,1,5,7,Park Slope,2400
66626,1.0,0,low,3,4,65,5,2,North Side,2740
66641,1.0,2,medium,6,3,120,5,13,Crown Heights,2475
66709,1.0,1,low,4,4,139,5,16,North Side,2300
66716,2.0,2,low,8,4,191,5,19,Kensington,2979
66734,1.0,1,medium,9,4,245,5,3,Greenpoint,2460
66770,1.0,2,high,4,3,113,5,20,Bushwick,1900
66795,1.0,3,low,8,7,133,5,19,Clinton Hill,4400
66855,1.0,3,low,12,2,47,5,7,Park Slope,3600
66887,1.0,3,low,8,0,85,5,24,Bedford Stuyvesant,2650
66889,1.0,1,low,11,2,77,5,11,North Side,4200
67004,1.0,1,low,5,0,9,5,3,Prospect Heights,2100
67028,1.0,1,medium,5,2,39,5,2,Ocean Hill,1700
67050,1.0,3,low,4,1,46,5,23,East Williamsburg,2800
67078,1.0,2,medium,5,5,65,5,18,North Side,3550
67102,2.0,2,low,5,4,9,5,14,Brighton Beach,3500
67110,1.0,1,low,6,4,122,5,28,Cobble Hill,2700
67111,1.0,1,low,17,0,32,5,21,Crown Heights,2000
67117,1.0,1,medium,9,4,30,5,11,Ocean Hill,1700
67220,1.0,0,low,0,1,1,5,13,Clinton Hill,1595
67288,1.0,1,medium,3,0,41,5,5,East Williamsburg,2200
67305,2.0,3,medium,6,0,55,5,5,Clinton Hill,4000
67311,2.0,2,medium,8,7,73,5,27,Broadway Junction,2350
67328,1.0,2,high,2,0,81,5,25,Broadway Junction,1550
67365,1.0,3,medium,10,8,85,5,2,Crown Heights,3000
67432,1.0,0,low,5,4,83,5,15,Flatbush,1650
67472,2.0,1,low,0,1,70,5,14,North Side,5400
67479,2.0,2,low,6,7,95,5,7,North Side,5100
67547,1.0,0,low,6,11,93,5,18,Brighton Beach,1550
67588,1.0,1,medium,10,14,135,5,6,North Side,3239
67605,1.0,1,low,0,1,1,5,3,Brooklyn Heights,2400
67625,1.0,1,low,4,1,24,5,13,Brighton Beach,1550
67655,0.0,0,low,0,0,9,5,17,Brooklyn Heights,4000
67683,1.0,1,low,5,3,81,5,8,Weeksville,2750
67700,1.0,2,low,8,2,24,5,27,Gowanus,2500
67707,1.0,2,high,8,2,32,5,5,Kensington,1900
67708,1.0,2,medium,15,6,32,5,18,Crown Heights,1995
67717,1.0,1,low,9,6,125,5,3,Prospect Heights,2450
67724,1.0,3,low,8,6,96,5,18,Bushwick,3700
67858,1.0,0,low,4,1,24,5,5,Brooklyn Heights,1900
67907,1.0,1,low,4,3,74,5,5,Park Slope,2550
